"","BTCUSDT","ETHUSDT","BNBUSDT","XRPUSDT","ADAUSDT","DOGEUSDT","MATICUSDT","LTCUSDT","UCRY.Policy.Index","UCRY.Price.Index","FROM"
"BTCUSDT","21.00","14.98","11.95","10.31","10.22"," 8.19"," 8.54","13.81"," 0.52"," 0.49","79.00"
"ETHUSDT","13.11","20.06","12.29","11.41","11.42"," 7.92"," 9.33","13.58"," 0.48"," 0.41","79.94"
"BNBUSDT","11.68","13.13","23.36","10.37","11.03"," 7.58","10.00","11.94"," 0.45"," 0.45","76.64"
"XRPUSDT","10.56","12.53","10.81","23.49","11.42"," 8.56"," 8.56","12.78"," 0.65"," 0.65","76.51"
"ADAUSDT","10.20","12.68","11.05","11.32","23.09"," 8.61"," 9.68","12.18"," 0.61"," 0.59","76.91"
"DOGEUSDT","10.18","10.27"," 9.39","10.13"," 9.82","31.18"," 7.36","10.80"," 0.44"," 0.43","68.82"
"MATICUSDT"," 8.90","11.09","11.39","10.01","10.62"," 7.36","28.98","10.12"," 0.70"," 0.83","71.02"
"LTCUSDT","12.83","14.36","11.45","11.57","11.84"," 8.16"," 8.33","20.49"," 0.49"," 0.48","79.51"
"UCRY.Policy.Index"," 1.01"," 0.92"," 0.88"," 1.10"," 1.02"," 0.65"," 1.09"," 1.04","52.09","40.19","47.91"
"UCRY.Price.Index"," 0.88"," 0.77"," 0.86"," 1.12"," 0.96"," 0.67"," 1.30"," 0.97","41.42","51.05","48.95"
"TO"," 79.35"," 90.74"," 80.06"," 77.34"," 78.36"," 57.69"," 64.19"," 87.23"," 45.75"," 44.53","705.23"
"Inc.Own","100.35","110.79","103.42","100.82","101.44"," 88.87"," 93.17","107.71"," 97.84"," 95.58","cTCI/TCI"
"NET","  0.35"," 10.79","  3.42","  0.82","  1.44","-11.13"," -6.83","  7.71"," -2.16"," -4.42","78.36/70.52"
"NPT","5.00","9.00","7.00","4.00","6.00","2.00","3.00","8.00","1.00","0.00",""
