"","BTCUSDT","ETHUSDT","BNBUSDT","XRPUSDT","ADAUSDT","DOGEUSDT","MATICUSDT","LTCUSDT","FROM"
"BTCUSDT","24.41","16.49","13.40"," 8.59"," 8.87"," 4.29"," 8.96","14.99","75.59"
"ETHUSDT","15.24","23.58","13.14"," 8.74","11.07"," 5.08"," 7.26","15.89","76.42"
"BNBUSDT","13.29","15.56","27.54"," 8.65","10.07"," 4.10"," 8.35","12.43","72.46"
"XRPUSDT","10.55"," 9.83"," 9.99","35.04"," 8.29"," 6.22"," 6.18","13.90","64.96"
"ADAUSDT"," 9.22","13.96","11.09"," 7.73","30.24"," 5.68"," 9.64","12.43","69.76"
"DOGEUSDT"," 7.48"," 8.96"," 5.54"," 9.58"," 8.05","46.82"," 3.31","10.27","53.18"
"MATICUSDT"," 9.78","10.18"," 9.98"," 7.06","12.84"," 2.82","39.87"," 7.46","60.13"
"LTCUSDT","14.08","15.99","11.35","11.90"," 9.96"," 6.46"," 5.61","24.66","75.34"
"TO"," 79.65"," 90.97"," 74.48"," 62.25"," 69.16"," 34.65"," 49.31"," 87.37","547.84"
"Inc.Own","104.06","114.55","102.02"," 97.29"," 99.40"," 81.47"," 89.18","112.03","cTCI/TCI"
"NET","  4.06"," 14.55","  2.02"," -2.71"," -0.60","-18.53","-10.82"," 12.03","78.26/68.48"
"NPT","4.00","7.00","5.00","2.00","3.00","0.00","1.00","6.00",""
