Timeline,Date,UCRY Policy Index,UCRY Price Index
30/12/2013 - 05/01/2014,03/01/2014,99.64140693,99.431646
06/01/2014 - 12/01/2014,10/01/2014,99.27108207,99.27121393
13/01/2014 - 19/01/2014,17/01/2014,99.44390034,99.36479931
20/01/2014 - 26/01/2014,24/01/2014,99.36983537,99.35142997
27/01/2014 - 02/02/2014,31/01/2014,99.56734196,99.59207807
03/02/2014 - 09/02/2014,07/02/2014,99.49327698,99.45838468
10/02/2014 - 16/02/2014,14/02/2014,99.49327698,99.4984927
17/02/2014 - 23/02/2014,21/02/2014,99.27108207,99.37816865
24/02/2014 - 02/03/2014,28/02/2014,100.1598617,100.0466356
03/03/2014 - 09/03/2014,07/03/2014,100.0857968,99.8728342
10/03/2014 - 16/03/2014,14/03/2014,99.7154719,99.52523138
17/03/2014 - 23/03/2014,21/03/2014,99.36983537,99.41827666
24/03/2014 - 30/03/2014,28/03/2014,99.54265363,99.4984927
31/03/2014 - 06/04/2014,04/04/2014,99.83891352,99.67229411
07/04/2014 - 13/04/2014,11/04/2014,99.29577039,99.32469129
14/04/2014 - 20/04/2014,18/04/2014,99.17232877,99.20436724
21/04/2014 - 27/04/2014,25/04/2014,99.46858866,99.35142997
28/04/2014 - 04/05/2014,02/05/2014,99.27108207,99.31132195
05/05/2014 - 11/05/2014,09/05/2014,99.29577039,99.37816865
12/05/2014 - 18/05/2014,16/05/2014,99.32045872,99.29795261
19/05/2014 - 25/05/2014,23/05/2014,99.39452369,99.28458327
26/05/2014 - 01/06/2014,30/05/2014,99.0982638,99.17762856
02/06/2014 - 08/06/2014,06/06/2014,99.29577039,99.32469129
09/06/2014 - 15/06/2014,13/06/2014,99.34514704,99.25784459
16/06/2014 - 22/06/2014,20/06/2014,99.41921201,99.36479931
23/06/2014 - 29/06/2014,27/06/2014,99.1970171,99.27121393
30/06/2014 - 06/07/2014,04/07/2014,99.66609525,99.52523138
07/07/2014 - 13/07/2014,11/07/2014,99.29577039,99.1909979
