date,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT,DOGEUSDT,MATICUSDT,LTCUSDT
2017-08-17,4285.08000000,302.00000000,,,,,,
2017-08-18,4108.37000000,293.96000000,,,,,,
2017-08-19,4139.98000000,290.91000000,,,,,,
2017-08-20,4086.29000000,299.10000000,,,,,,
2017-08-21,4016.00000000,323.29000000,,,,,,
2017-08-22,4040.00000000,309.80000000,,,,,,
2017-08-23,4114.01000000,315.74000000,,,,,,
2017-08-24,4316.01000000,323.42000000,,,,,,
2017-08-25,4280.68000000,327.24000000,,,,,,
2017-08-26,4337.44000000,330.79000000,,,,,,
2017-08-27,4310.01000000,348.13000000,,,,,,
2017-08-28,4386.69000000,346.00000000,,,,,,
2017-08-29,4587.48000000,374.70000000,,,,,,
2017-08-30,4555.14000000,385.93000000,,,,,,
2017-08-31,4724.89000000,384.79000000,,,,,,
2017-09-01,4834.91000000,388.46000000,,,,,,
2017-09-02,4472.14000000,343.14000000,,,,,,
2017-09-03,4509.08000000,341.77000000,,,,,,
2017-09-04,4100.11000000,283.77000000,,,,,,
2017-09-05,4366.47000000,312.09000000,,,,,,
2017-09-06,4619.77000000,335.00000000,,,,,,
2017-09-07,4691.61000000,334.49000000,,,,,,
2017-09-08,4282.80000000,302.99000000,,,,,,
2017-09-09,4258.81000000,296.74000000,,,,,,
2017-09-10,4130.37000000,293.50000000,,,,,,
2017-09-11,4208.47000000,297.30000000,,,,,,
2017-09-12,4163.72000000,293.96000000,,,,,,
2017-09-13,3944.69000000,276.91000000,,,,,,
2017-09-14,3189.02000000,215.21000000,,,,,,
2017-09-15,3700.00000000,253.00000000,,,,,,
2017-09-16,3714.95000000,249.31000000,,,,,,
2017-09-17,3699.99000000,257.55000000,,,,,,
2017-09-18,4035.01000000,294.57000000,,,,,,
2017-09-19,3910.04000000,284.00000000,,,,,,
2017-09-20,3900.00000000,282.00000000,,,,,,
2017-09-21,3609.99000000,257.00000000,,,,,,
2017-09-22,3595.87000000,264.00000000,,,,,,
2017-09-23,3780.00000000,285.93000000,,,,,,
2017-09-24,3660.02000000,282.00000000,,,,,,
2017-09-25,3920.75000000,294.42000000,,,,,,
2017-09-26,3882.35000000,287.90000000,,,,,,
2017-09-27,4193.00000000,309.74000000,,,,,,
2017-09-28,4174.50000000,302.44000000,,,,,,
2017-09-29,4174.69000000,292.22000000,,,,,,
2017-09-30,4378.51000000,304.36000000,,,,,,
2017-10-01,4378.48000000,303.95000000,,,,,,
2017-10-02,4380.00000000,296.50000000,,,,,,
2017-10-03,4310.00000000,292.48000000,,,,,,
2017-10-04,4208.59000000,291.99000000,,,,,,
2017-10-05,4292.43000000,294.81000000,,,,,,
2017-10-06,4369.00000000,310.80000000,,,,,,
2017-10-07,4423.00000000,311.01000000,,,,,,
2017-10-08,4640.00000000,311.07000000,,,,,,
2017-10-09,4786.95000000,297.19000000,,,,,,
2017-10-10,4783.06000000,298.64000000,,,,,,
2017-10-11,4821.43000000,304.01000000,,,,,,
2017-10-12,5430.00000000,303.99000000,,,,,,
2017-10-13,5649.98000000,337.96000000,,,,,,
2017-10-14,5869.99000000,342.00000000,,,,,,
2017-10-15,5709.99000000,337.96000000,,,,,,
2017-10-16,5760.02000000,335.19000000,,,,,,
2017-10-17,5595.00000000,315.19000000,,,,,,
2017-10-18,5512.06000000,309.70000000,,,,,,
2017-10-19,5683.90000000,308.66000000,,,,,,
2017-10-20,6010.01000000,304.51000000,,,,,,
2017-10-21,6024.97000000,298.94000000,,,,,,
2017-10-22,5950.02000000,293.79000000,,,,,,
2017-10-23,5915.93000000,281.09000000,,,,,,
2017-10-24,5477.03000000,297.38000000,,,,,,
2017-10-25,5689.99000000,294.49000000,,,,,,
2017-10-26,5861.77000000,294.71000000,,,,,,
2017-10-27,5768.83000000,296.33000000,,,,,,
2017-10-28,5719.64000000,291.87000000,,,,,,
2017-10-29,6169.98000000,305.00000000,,,,,,
2017-10-30,6120.50000000,307.25000000,,,,,,
2017-10-31,6463.00000000,304.90000000,,,,,,
2017-11-01,6753.98000000,287.01000000,,,,,,
2017-11-02,7019.98000000,283.12000000,,,,,,
2017-11-03,7115.04000000,304.08000000,,,,,,
2017-11-04,7357.09000000,298.04000000,,,,,,
2017-11-05,7345.01000000,295.53000000,,,,,,
2017-11-06,6960.12000000,297.97000000,1.57100000,,,,,
2017-11-07,7064.04000000,291.78000000,1.80000000,,,,,
2017-11-08,7303.00000000,303.02000000,1.98890000,,,,,
2017-11-09,7079.99000000,317.87000000,1.99000000,,,,,
2017-11-10,6506.98000000,293.50000000,1.71330000,,,,,
2017-11-11,6245.05000000,310.02000000,1.65500000,,,,,
2017-11-12,5811.03000000,305.24000000,1.49000000,,,,,
2017-11-13,6465.99000000,312.99000000,1.68000000,,,,,
2017-11-14,6574.99000000,335.61000000,1.59110000,,,,,
2017-11-15,7240.06000000,331.33000000,1.55320000,,,,,
2017-11-16,7864.50000000,331.49000000,1.55990000,,,,,
2017-11-17,7699.19000000,331.23000000,1.50410000,,,,,
2017-11-18,7761.94000000,346.66000000,1.66990000,,,,,
2017-11-19,8038.00000000,354.15000000,1.60000000,,,,,
2017-11-20,8212.00000000,367.42000000,1.64000000,,,,,
2017-11-21,8119.51000000,362.12000000,1.58740000,,,,,
2017-11-22,8205.92000000,380.65000000,1.61580000,,,,,
2017-11-23,8019.99000000,405.00000000,1.57000000,,,,,
2017-11-24,8138.00000000,469.00000000,1.72920000,,,,,
2017-11-25,8700.01000000,461.82000000,1.87000000,,,,,
2017-11-26,9128.02000000,462.84000000,1.83880000,,,,,
2017-11-27,9650.00000000,472.31000000,1.95320000,,,,,
2017-11-28,9896.80000000,466.17000000,1.92490000,,,,,
2017-11-29,9687.88000000,421.70000000,1.75650000,,,,,
2017-11-30,9838.96000000,427.43000000,1.95000000,,,,,
2017-12-01,10782.99000000,457.51000000,2.05270000,,,,,
2017-12-02,10890.01000000,457.63000000,2.07970000,,,,,
2017-12-03,11165.41000000,460.30000000,2.26170000,,,,,
2017-12-04,11579.00000000,466.67000000,2.55000000,,,,,
2017-12-05,11699.99000000,452.26000000,2.61200000,,,,,
2017-12-06,13550.05000000,411.01000000,2.51340000,,,,,
2017-12-07,16599.00000000,406.33000000,2.66250000,,,,,
2017-12-08,15880.00000000,442.56000000,2.79000000,,,,,
2017-12-09,14656.07000000,460.00000000,2.65000000,,,,,
2017-12-10,14899.98000000,427.35000000,2.46190000,,,,,
2017-12-11,16587.97000000,508.70000000,2.68700000,,,,,
2017-12-12,16349.99000000,620.00000000,2.55470000,,,,,
2017-12-13,16033.29000000,683.99000000,2.71900000,,,,,290.01000000
2017-12-14,16334.98000000,679.76000000,3.15190000,,,,,272.40000000
2017-12-15,17539.83000000,674.95000000,4.12000000,,,,,294.00000000
2017-12-16,19102.66000000,682.81000000,4.63780000,,,,,293.97000000
2017-12-17,18860.02000000,707.64000000,5.99900000,,,,,311.40000000
2017-12-18,18856.25000000,784.00000000,6.00000000,,,,,352.00000000
2017-12-19,17295.20000000,798.00000000,5.69990000,,,,,338.48000000
2017-12-20,16488.98000000,790.21000000,5.15020000,,,,,302.70000000
2017-12-21,15492.64000000,782.41000000,5.15960000,,,,,302.00000000
2017-12-22,13326.61000000,635.97000000,4.29120000,,,,,250.99000000
2017-12-23,13300.00000000,640.34000000,4.40000000,,,,,253.44000000
2017-12-24,13500.00000000,658.00000000,5.18100000,,,,,262.90000000
2017-12-25,13699.34000000,714.95000000,6.46310000,,,,,261.20000000
2017-12-26,15689.01000000,750.00000000,9.25400000,,,,,277.98000000
2017-12-27,15459.99000000,739.89000000,10.07310000,,,,,262.59000000
2017-12-28,14182.11000000,707.89000000,9.25000000,,,,,244.68000000
2017-12-29,14378.90000000,733.99000000,8.70940000,,,,,238.27000000
2017-12-30,12440.01000000,681.06000000,7.59470000,,,,,206.03000000
2017-12-31,13716.36000000,733.98000000,8.53000000,,,,,223.69000000
2018-01-01,13380.00000000,754.99000000,8.45000000,,,,,222.61000000
2018-01-02,14675.11000000,855.28000000,8.71500000,,,,,247.33000000
